text,sentiment,preprocessed_text
I want my money back. This movie was a huge disappointment.,0,i want my money back this movie was a huge disappointment
The acting was superb and the dialogue was witty and engaging.,1,the acting was superb and the dialogue was witty and engaging
"Despite some flaws, I really enjoyed this film overall.",1,despite some flaws i really enjoyed this film overall
The plot twists kept me on the edge of my seat. Great movie!,1,the plot twists kept me on the edge of my seat great movie
"I didn't expect to like it, but I was pleasantly surprised by how good it was.",1,i didn t expect to like it but i was pleasantly surprised by how good it was
Five stars! This movie exceeded all my expectations.,1,five stars this movie exceeded all my expectations
The cinematography in this film was breathtaking. A visual masterpiece.,1,the cinematography in this film was breathtaking a visual masterpiece
Brilliant performances by all the actors. A must-watch.,1,brilliant performances by all the actors a must watch
I've never been so bored watching a film. Absolutely dreadful.,0,i ve never been so bored watching a film absolutely dreadful
The characters were unlikable and the story was predictable.,0,the characters were unlikable and the story was predictable
I absolutely loved this movie. The story was engaging and the characters were well-developed.,1,i absolutely loved this movie the story was engaging and the characters were well developed
I've never been so bored watching a film. Absolutely dreadful.,0,i ve never been so bored watching a film absolutely dreadful
Don't waste your money on this garbage movie.,0,don t waste your money on this garbage movie
"I didn't expect to like it, but I was pleasantly surprised by how good it was.",1,i didn t expect to like it but i was pleasantly surprised by how good it was
This was the worst movie I've ever seen. Terrible acting.,0,this was the worst movie i ve ever seen terrible acting
The director did an incredible job. I was captivated throughout.,1,the director did an incredible job i was captivated throughout
I walked out of the theater. It was that bad.,0,i walked out of the theater it was that bad
Poorly directed with terrible special effects. Avoid at all costs.,0,poorly directed with terrible special effects avoid at all costs
The characters were unlikable and the story was predictable.,0,the characters were unlikable and the story was predictable
I thoroughly enjoyed this film from start to finish.,1,i thoroughly enjoyed this film from start to finish
The acting was superb and the dialogue was witty and engaging.,1,the acting was superb and the dialogue was witty and engaging
The plot twists kept me on the edge of my seat. Great movie!,1,the plot twists kept me on the edge of my seat great movie
The characters were unlikable and the story was predictable.,0,the characters were unlikable and the story was predictable
A complete disaster from start to finish. Zero stars.,0,a complete disaster from start to finish zero stars
Five stars! This movie exceeded all my expectations.,1,five stars this movie exceeded all my expectations
I loved how the film balanced humor and drama so effectively.,1,i loved how the film balanced humor and drama so effectively
I've never been so bored watching a film. Absolutely dreadful.,0,i ve never been so bored watching a film absolutely dreadful
An outstanding achievement in filmmaking. Loved it!,1,an outstanding achievement in filmmaking loved it
Brilliant performances by all the actors. A must-watch.,1,brilliant performances by all the actors a must watch
The acting was superb and the dialogue was witty and engaging.,1,the acting was superb and the dialogue was witty and engaging
Five stars! This movie exceeded all my expectations.,1,five stars this movie exceeded all my expectations
Well-developed characters and an engaging storyline made this film a joy to watch.,1,well developed characters and an engaging storyline made this film a joy to watch
A heartwarming story with characters you can't help but root for.,1,a heartwarming story with characters you can t help but root for
The cinematography in this film was breathtaking. A visual masterpiece.,1,the cinematography in this film was breathtaking a visual masterpiece
Well-developed characters and an engaging storyline made this film a joy to watch.,1,well developed characters and an engaging storyline made this film a joy to watch
A complete disaster from start to finish. Zero stars.,0,a complete disaster from start to finish zero stars
The plot made no sense and the dialogue was awful.,0,the plot made no sense and the dialogue was awful
The plot made no sense and the dialogue was awful.,0,the plot made no sense and the dialogue was awful
The characters were unlikable and the story was predictable.,0,the characters were unlikable and the story was predictable
Beautiful cinematography and outstanding performances make this a must-see film.,1,beautiful cinematography and outstanding performances make this a must see film
Well-developed characters and an engaging storyline made this film a joy to watch.,1,well developed characters and an engaging storyline made this film a joy to watch
A complete disaster from start to finish. Zero stars.,0,a complete disaster from start to finish zero stars
"Despite some flaws, I really enjoyed this film overall.",1,despite some flaws i really enjoyed this film overall
The cinematography in this film was breathtaking. A visual masterpiece.,1,the cinematography in this film was breathtaking a visual masterpiece
The plot twists kept me on the edge of my seat. Great movie!,1,the plot twists kept me on the edge of my seat great movie
The story was engaging and the characters were well-developed. I loved it.,1,the story was engaging and the characters were well developed i loved it
A complete disaster from start to finish. Zero stars.,0,a complete disaster from start to finish zero stars
The plot made no sense and the dialogue was awful.,0,the plot made no sense and the dialogue was awful
I walked out of the theater. It was that bad.,0,i walked out of the theater it was that bad
The director did an incredible job. I was captivated throughout.,1,the director did an incredible job i was captivated throughout
I hated every minute of this film. Complete waste of time.,0,i hated every minute of this film complete waste of time
The acting was superb and the dialogue was witty and engaging.,1,the acting was superb and the dialogue was witty and engaging
Beautiful cinematography and outstanding performances make this a must-see film.,1,beautiful cinematography and outstanding performances make this a must see film
A heartwarming story with characters you can't help but root for.,1,a heartwarming story with characters you can t help but root for
The story was engaging and the characters were well-developed. I loved it.,1,the story was engaging and the characters were well developed i loved it
The cinematography in this film was breathtaking. A visual masterpiece.,1,the cinematography in this film was breathtaking a visual masterpiece
The cinematography in this film was breathtaking. A visual masterpiece.,1,the cinematography in this film was breathtaking a visual masterpiece
Brilliant performances by all the actors. A must-watch.,1,brilliant performances by all the actors a must watch
The story was engaging and the characters were well-developed. I loved it.,1,the story was engaging and the characters were well developed i loved it
I hated every minute of this film. Complete waste of time.,0,i hated every minute of this film complete waste of time
The plot made no sense and the dialogue was awful.,0,the plot made no sense and the dialogue was awful
I absolutely loved this movie. The story was engaging and the characters were well-developed.,1,i absolutely loved this movie the story was engaging and the characters were well developed
I hated every minute of this film. Complete waste of time.,0,i hated every minute of this film complete waste of time
The acting was superb and the dialogue was witty and engaging.,1,the acting was superb and the dialogue was witty and engaging
I want my money back. This movie was a huge disappointment.,0,i want my money back this movie was a huge disappointment
The characters were unlikable and the story was predictable.,0,the characters were unlikable and the story was predictable
The cinematography in this film was breathtaking. A visual masterpiece.,1,the cinematography in this film was breathtaking a visual masterpiece
I want my money back. This movie was a huge disappointment.,0,i want my money back this movie was a huge disappointment
The cinematography in this film was breathtaking. A visual masterpiece.,1,the cinematography in this film was breathtaking a visual masterpiece
An outstanding achievement in filmmaking. Loved it!,1,an outstanding achievement in filmmaking loved it
"I didn't expect to like it, but I was pleasantly surprised by how good it was.",1,i didn t expect to like it but i was pleasantly surprised by how good it was
This is my favorite movie of all time. Perfect in every way.,1,this is my favorite movie of all time perfect in every way
The cinematography in this film was breathtaking. A visual masterpiece.,1,the cinematography in this film was breathtaking a visual masterpiece
Brilliant performances by all the actors. A must-watch.,1,brilliant performances by all the actors a must watch
The visuals were stunning and the acting was superb in this excellent movie.,1,the visuals were stunning and the acting was superb in this excellent movie
Don't waste your money on this garbage movie.,0,don t waste your money on this garbage movie
The visuals were stunning and the acting was superb in this excellent movie.,1,the visuals were stunning and the acting was superb in this excellent movie
The plot made no sense and the dialogue was awful.,0,the plot made no sense and the dialogue was awful
The movie had a slow start but ended up being really enjoyable.,1,the movie had a slow start but ended up being really enjoyable
I can't stop thinking about how good this movie was.,1,i can t stop thinking about how good this movie was
A masterpiece of modern cinema. Highly recommended.,1,a masterpiece of modern cinema highly recommended
The best film I've seen all year. Absolutely fantastic.,1,the best film i ve seen all year absolutely fantastic
Well-developed characters and an engaging storyline made this film a joy to watch.,1,well developed characters and an engaging storyline made this film a joy to watch
Great performances by the entire cast. I was impressed by their talent.,1,great performances by the entire cast i was impressed by their talent
Great performances by the entire cast. I was impressed by their talent.,1,great performances by the entire cast i was impressed by their talent
This is my favorite movie of all time. Perfect in every way.,1,this is my favorite movie of all time perfect in every way
I've never been so bored watching a film. Absolutely dreadful.,0,i ve never been so bored watching a film absolutely dreadful
I thoroughly enjoyed this film from start to finish.,1,i thoroughly enjoyed this film from start to finish
The cinematography was beautiful and the performances were outstanding. Highly recommend.,1,the cinematography was beautiful and the performances were outstanding highly recommend
Well-developed characters and an engaging storyline made this film a joy to watch.,1,well developed characters and an engaging storyline made this film a joy to watch
The plot twists kept me on the edge of my seat. Great movie!,1,the plot twists kept me on the edge of my seat great movie
I loved how the film balanced humor and drama so effectively.,1,i loved how the film balanced humor and drama so effectively
The best film I've seen all year. Absolutely fantastic.,1,the best film i ve seen all year absolutely fantastic
I thoroughly enjoyed this film from start to finish.,1,i thoroughly enjoyed this film from start to finish
This is my favorite movie of all time. Perfect in every way.,1,this is my favorite movie of all time perfect in every way
I hated every minute of this film. Complete waste of time.,0,i hated every minute of this film complete waste of time
I want my money back. This movie was a huge disappointment.,0,i want my money back this movie was a huge disappointment
I can't stop thinking about how good this movie was.,1,i can t stop thinking about how good this movie was
This was the worst movie I've ever seen. Terrible acting.,0,this was the worst movie i ve ever seen terrible acting
Poorly directed with terrible special effects. Avoid at all costs.,0,poorly directed with terrible special effects avoid at all costs
An outstanding achievement in filmmaking. Loved it!,1,an outstanding achievement in filmmaking loved it
Great performances by the entire cast. I was impressed by their talent.,1,great performances by the entire cast i was impressed by their talent
I loved how the film balanced humor and drama so effectively.,1,i loved how the film balanced humor and drama so effectively
I want my money back. This movie was a huge disappointment.,0,i want my money back this movie was a huge disappointment
I want my money back. This movie was a huge disappointment.,0,i want my money back this movie was a huge disappointment
The characters were unlikable and the story was predictable.,0,the characters were unlikable and the story was predictable
I've never been so bored watching a film. Absolutely dreadful.,0,i ve never been so bored watching a film absolutely dreadful
Five stars! This movie exceeded all my expectations.,1,five stars this movie exceeded all my expectations
The best film I've seen all year. Absolutely fantastic.,1,the best film i ve seen all year absolutely fantastic
I absolutely loved this movie. The story was engaging and the characters were well-developed.,1,i absolutely loved this movie the story was engaging and the characters were well developed
Don't waste your money on this garbage movie.,0,don t waste your money on this garbage movie
"Despite some flaws, I really enjoyed this film overall.",1,despite some flaws i really enjoyed this film overall
I can't stop thinking about how good this movie was.,1,i can t stop thinking about how good this movie was
I walked out of the theater. It was that bad.,0,i walked out of the theater it was that bad
The plot twists kept me on the edge of my seat. Great movie!,1,the plot twists kept me on the edge of my seat great movie
This is my favorite movie of all time. Perfect in every way.,1,this is my favorite movie of all time perfect in every way
Beautiful cinematography and outstanding performances make this a must-see film.,1,beautiful cinematography and outstanding performances make this a must see film
Great performances by the entire cast. I was impressed by their talent.,1,great performances by the entire cast i was impressed by their talent
I absolutely loved this movie. The story was engaging and the characters were well-developed.,1,i absolutely loved this movie the story was engaging and the characters were well developed
Don't waste your money on this garbage movie.,0,don t waste your money on this garbage movie
Great performances by the entire cast. I was impressed by their talent.,1,great performances by the entire cast i was impressed by their talent
I've never been so bored watching a film. Absolutely dreadful.,0,i ve never been so bored watching a film absolutely dreadful
I loved how the film balanced humor and drama so effectively.,1,i loved how the film balanced humor and drama so effectively
This is my favorite movie of all time. Perfect in every way.,1,this is my favorite movie of all time perfect in every way
This movie was amazing! I loved every minute of it.,1,this movie was amazing i loved every minute of it
I want my money back. This movie was a huge disappointment.,0,i want my money back this movie was a huge disappointment
Don't waste your money on this garbage movie.,0,don t waste your money on this garbage movie
I walked out of the theater. It was that bad.,0,i walked out of the theater it was that bad
Don't waste your money on this garbage movie.,0,don t waste your money on this garbage movie
I've never been so bored watching a film. Absolutely dreadful.,0,i ve never been so bored watching a film absolutely dreadful
I hated every minute of this film. Complete waste of time.,0,i hated every minute of this film complete waste of time
The story was engaging and the characters were well-developed. I loved it.,1,the story was engaging and the characters were well developed i loved it
I can't stop thinking about how good this movie was.,1,i can t stop thinking about how good this movie was
Don't waste your money on this garbage movie.,0,don t waste your money on this garbage movie
A complete disaster from start to finish. Zero stars.,0,a complete disaster from start to finish zero stars
A masterpiece of modern cinema. Highly recommended.,1,a masterpiece of modern cinema highly recommended
I've never been so bored watching a film. Absolutely dreadful.,0,i ve never been so bored watching a film absolutely dreadful
Great performances by the entire cast. I was impressed by their talent.,1,great performances by the entire cast i was impressed by their talent
This movie was amazing! I loved every minute of it.,1,this movie was amazing i loved every minute of it
A heartwarming story with characters you can't help but root for.,1,a heartwarming story with characters you can t help but root for
